id,eventId,minute,teamId,playerId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,second,endX,endY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,blockedX,blockedY,cardType,shirtNo,name,progressive,homeTeam,awayTeam,xT
2379187691.0,35.0,2.0,264.0,241843.0,76.23,62.15200000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['StandingSave', 'PassEndX', 'Length', 'Chipped', 'Cross', 'Zone', 'Angle', 'LeftFoot', 'PassEndY']","[91, 138, 124, 126, 36, 38, 217, 218]",True,16.0,94.185,44.132000000000005,,,,,,,,,,,True,Maritimo,Estoril,0.033690090000000006
2379187769.0,36.0,2.0,264.0,403771.0,101.43,53.516000000000005,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Unsuccessful,"['Zone', 'StandingSave']","[91, 69]",True,19.0,,,,,,,,,,,,,,Maritimo,Estoril,
2379187859.0,19.0,2.0,2188.0,356232.0,11.97,8.908000000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Successful,"['Zone', 'StandingSave']",[91],True,20.0,,,,,,,,,,,97.0,Patrick Willian,,Maritimo,Estoril,
2379187845.0,18.0,2.0,2188.0,333315.0,9.03,12.852000000000006,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Zone', 'PassEndY', 'Length', 'PassEndX', 'Angle']","[91, 117, 30, 36, 38, 215, 218]",True,20.0,11.97,8.908000000000005,,,,,,,,,21.0,João Gamboa,False,Maritimo,Estoril,0.0012851699999999995
2379188151.0,38.0,2.0,264.0,329366.0,96.39,68.0,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'ThrowIn', 'Angle', 'PassEndY', 'Length', 'Zone']","[91, 212, 35, 38, 217]",True,30.0,85.89,58.82000000000002,,,,,,,,,,,False,Maritimo,Estoril,-0.00839318
2379188163.0,39.0,2.0,264.0,422003.0,81.48,60.452000000000005,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",TakeOn,Unsuccessful,"['StandingSave', 'Offensive', 'OppositeRelatedEvent', 'Zone']","[91, 53]",True,31.0,,,,,,,,,,,,,,Maritimo,Estoril,
2379188155.0,21.0,2.0,2188.0,421893.0,23.52,7.548,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Tackle,Successful,"['Defensive', 'OppositeRelatedEvent', 'StandingSave', 'Zone']","[91, 143]",True,32.0,,,,,,,,,,,10.0,André Franco,,Maritimo,Estoril,
2379188241.0,23.0,2.0,2188.0,322665.0,30.555000000000003,11.152,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,32.0,,,,,,,,,,,92.0,António Xavier,,Maritimo,Estoril,
2379188255.0,24.0,2.0,2188.0,322665.0,30.55500000000001,11.152,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Zone', 'Length', 'PassEndY', 'PassEndX', 'StandingSave']","[91, 117, 30, 36, 37, 216, 218]",True,34.0,42.945,22.644,,,,,,,,,92.0,António Xavier,False,Maritimo,Estoril,0.002096839999999999
2379188275.0,25.0,2.0,2188.0,421893.0,42.945,22.644,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['StandingSave', 'Zone', 'Longball', 'PassEndY', 'Angle', 'Length', 'Chipped', 'PassEndX']","[91, 120, 124, 128, 36, 38, 217, 218]",True,36.0,83.265,17.34,,,,,,,,,10.0,André Franco,True,Maritimo,Estoril,0.01586028
2379261521.0,463.0,2.0,264.0,74433.0,0.0,0.0,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",KeeperSweeper,Successful,['Zone'],[],False,40.0,,,,,,,,,,,,,,Maritimo,Estoril,
2379188307.0,40.0,2.0,264.0,74433.0,17.325,58.684000000000005,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Clearance,Successful,"['StandingSave', 'PassEndY', 'Angle', 'Length', 'Zone', 'PassEndX']","[91, 94, 95, 216]",True,40.0,38.535,68.0,,,,,,,,,,,,Maritimo,Estoril,
2379188731.0,27.0,2.0,2188.0,421891.0,59.535000000000004,0.0,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'Length', 'Angle', 'ThrowIn', 'PassEndY', 'PassEndX']","[91, 212, 37, 216]",True,59.0,59.535000000000004,7.752000000000001,,,,,,,,,2.0,Carles Soria Grau,False,Maritimo,Estoril,0.0
2379188743.0,28.0,3.0,2188.0,333315.0,59.22,7.752000000000001,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Unsuccessful,"['Zone', 'StandingSave']","[91, 69]",True,0.0,,,,,,,,,,,21.0,João Gamboa,,Maritimo,Estoril,
2379188749.0,42.0,3.0,264.0,403771.0,60.375,49.98,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,2.0,,,,,,,,,,,,,,Maritimo,Estoril,
2379188809.0,43.0,3.0,264.0,403771.0,69.825,59.704,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",TakeOn,Unsuccessful,"['Offensive', 'StandingSave', 'OppositeRelatedEvent', 'Zone']","[91, 53]",True,4.0,,,,,,,,,,,,,,Maritimo,Estoril,
