id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,goalMouthZ,goalMouthY,isShot,cardType,blockedX,blockedY,isGoal,isOwnGoal,shirtNo,name,progressive,homeTeam,awayTeam,xT
,,2.0,34.0,,30.03,14.824000000000002,,,Carry,,,,,331637.0,28.875,16.252,,,,,,,,,,,3.0,Bruno Wilson,False,Arouca,Vizela,0.0
2366575363.0,30.0,2.0,39.0,2899.0,28.875,16.252,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Angle', 'Length', 'StandingSave', 'PassEndX', 'Zone']","[91, 117, 30, 35, 37, 215, 218]",True,331637.0,27.3,44.132000000000005,,,,,,,,,,,3.0,Bruno Wilson,False,Arouca,Vizela,-0.00058186
,,2.0,39.0,,27.3,44.132000000000005,,,Carry,,,,,425474.0,30.66,43.45200000000002,,,,,,,,,,,25.0,Mohamed Aidara,False,Arouca,Vizela,0.00109158
2366575387.0,31.0,2.0,44.0,2899.0,30.66,43.45200000000002,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Zone', 'PassEndX', 'Length', 'StandingSave', 'Angle']","[91, 117, 30, 35, 38, 215, 218]",True,425474.0,27.51,15.028000000000002,,,,,,,,,,,25.0,Mohamed Aidara,False,Arouca,Vizela,-0.0016808000000000014
2366575411.0,32.0,2.0,47.0,2899.0,27.72,15.3,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'StandingSave', 'Length', 'PassEndX', 'Zone', 'PassEndY']","[91, 117, 30, 36, 37, 215, 218]",True,331637.0,27.93000000000001,40.93600000000001,,,,,,,,,,,3.0,Bruno Wilson,False,Arouca,Vizela,-0.0004294100000000016
,,2.0,47.0,,27.93000000000001,40.93600000000001,,,Carry,,,,,425474.0,29.50500000000001,42.908,,,,,,,,,,,25.0,Mohamed Aidara,False,Arouca,Vizela,-0.0002191399999999996
2366575433.0,33.0,2.0,51.0,2899.0,29.50500000000001,42.908,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Angle', 'StandingSave', 'PassEndX', 'Length', 'Zone']","[91, 117, 30, 36, 37, 216, 218]",True,425474.0,48.300000000000004,52.08800000000002,,,,,,,,,,,25.0,Mohamed Aidara,False,Arouca,Vizela,0.00274078
,,2.0,51.0,,48.300000000000004,52.08800000000002,,,Carry,,,,,344143.0,48.72,49.096,,,,,,,,,,,22.0,Kévin Zohi,False,Arouca,Vizela,0.0004458799999999992
2366575437.0,34.0,2.0,52.0,2899.0,48.72,49.096,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Foul,Successful,"['OppositeRelatedEvent', 'Offensive', 'Foul', 'Zone']","[91, 63]",True,344143.0,,,,,,,,,,,,,22.0,Kévin Zohi,,Arouca,Vizela,
2366575453.0,31.0,2.0,52.0,5948.0,56.28,18.904000000000003,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Foul,Unsuccessful,"['StandingSave', 'Foul', 'Zone', 'Defensive', 'OppositeRelatedEvent']",[64],False,326486.0,,,,,,,,,,,,,,,,Arouca,Vizela,
