id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,cardType,isGoal,shirtNo,name,progressive,homeTeam,awayTeam,xT
2379845331.0,33.0,2.0,26.0,2899.0,67.30499999999999,0.0,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Length', 'Longball', 'Angle', 'PassEndX', 'ThrowIn', 'Zone', 'PassEndY']","[91, 212, 36, 37, 217]",True,118380.0,97.755,15.64,,,,,,,,,,14.0,Igor Julião,True,Boavista,Vizela,0.029026609999999998
2379845393.0,37.0,2.0,28.0,122.0,12.495,48.89200000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Clearance,Successful,"['Length', 'PassEndX', 'PassEndY', 'Zone', 'Angle', 'Head']","[91, 94, 95, 57, 215]",True,405113.0,18.27,60.79200000000001,,,,,,,,,,,,,Boavista,Vizela,
2379845403.0,38.0,2.0,29.0,122.0,18.27,60.79200000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['PassEndX', 'Length', 'Angle', 'Longball', 'Zone', 'PassEndY']","[91, 118, 120, 128, 36, 37, 215, 218]",True,135635.0,30.135,68.0,,,,,,,,,,,,False,Boavista,Vizela,0.00198043
2379845867.0,35.0,2.0,52.0,2899.0,79.8,0.0,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Zone', 'Angle', 'Length', 'PassEndX', 'Longball', 'PassEndY', 'ThrowIn']","[91, 212, 36, 37, 217]",True,36137.0,95.44500000000001,21.012,,,,,,,,,,6.0,Claudemir,True,Boavista,Vizela,0.027348260000000003
2379845891.0,40.0,2.0,54.0,122.0,9.240000000000002,45.56,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Aerial,Successful,"['Zone', 'Defensive', 'OppositeRelatedEvent']","[197, 200]",False,423076.0,,,,,,,,,,,,,,,Boavista,Vizela,
2379845873.0,36.0,2.0,54.0,2899.0,95.76,22.44,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Aerial,Unsuccessful,"['Offensive', 'Zone', 'OppositeRelatedEvent']","[198, 199]",False,425474.0,,,,,,,,,,,,25.0,Mohamed Aidara,,Boavista,Vizela,
2379845905.0,41.0,2.0,54.0,122.0,7.35,42.908,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Clearance,Successful,"['Head', 'Length', 'PassEndX', 'PassEndY', 'Angle', 'Zone']","[91, 94, 95, 57, 215]",True,423076.0,7.035,33.252,,,,,,,,,,,,,Boavista,Vizela,
2379845921.0,42.0,2.0,55.0,122.0,5.670000000000001,35.224000000000004,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Unsuccessful,"['Zone', 'StandingSave']","[91, 69]",True,405113.0,,,,,,,,,,,,,,,Boavista,Vizela,
2379888115.0,382.0,2.0,56.0,2899.0,96.495,37.06,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",SavedShot,Successful,"['GoalMouthY', 'ThrowinSetPiece', 'BlockedX', 'RightFoot', 'BoxCentre', 'GoalMouthZ', 'Zone', 'Blocked', 'OppositeRelatedEvent', 'StandingSave', 'BlockedY', 'LowLeft']","[91, 10, 1, 5, 11, 12]",True,119543.0,,,93.7,54.5,19.0,54.6,True,,,,,9.0,Cassiano,,Boavista,Vizela,
2379845923.0,43.0,2.0,56.0,122.0,8.085,33.11600000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Save,Successful,"['Zone', 'StandingSave', 'OppositeRelatedEvent', 'OutfielderBlock']","[91, 58]",True,105974.0,,,,,,,,,,,,,,,Boavista,Vizela,
