id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,goalMouthZ,goalMouthY,isOwnGoal,isGoal,isShot,relatedEventId,relatedPlayerId,blockedX,blockedY,shirtNo,name,progressive,homeTeam,awayTeam,xT
2359939273.0,34.0,2.0,38.0,299.0,81.69,56.168,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",TakeOn,Successful,"['Offensive', 'StandingSave', 'Zone', 'OppositeRelatedEvent']","[91, 54]",True,107252.0,,,,,,,,,,,,3.0,Alejandro Grimaldo,,Belenenses SAD,Benfica,
2359939283.0,16.0,2.0,39.0,292.0,21.840000000000003,14.28,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",BlockedPass,Successful,"['Defensive', 'OppositeRelatedEvent', 'StandingSave', 'Zone']","[91, 60]",True,423114.0,,,,,,,,,,,,,,,Belenenses SAD,Benfica,
2359939277.0,35.0,2.0,39.0,299.0,80.955,57.39200000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['PassEndY', 'Length', 'PassEndX', 'Angle', 'Zone', 'StandingSave', 'Offensive', 'OppositeRelatedEvent']","[91, 120, 29, 35, 38, 217, 218]",True,107252.0,78.64500000000001,55.01200000000001,,,,,,,,,,3.0,Alejandro Grimaldo,False,Belenenses SAD,Benfica,-0.00551751
2359939295.0,17.0,2.0,40.0,292.0,21.315,5.236000000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,423114.0,,,,,,,,,,,,,,,Belenenses SAD,Benfica,
2359939337.0,36.0,2.0,43.0,299.0,78.54,67.524,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",BlockedPass,Successful,"['Defensive', 'Zone', 'OppositeRelatedEvent', 'StandingSave']","[91, 60]",True,107252.0,,,,,,,,,,,,3.0,Alejandro Grimaldo,,Belenenses SAD,Benfica,
2359939331.0,18.0,2.0,43.0,292.0,20.580000000000002,2.3800000000000003,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Zone', 'PassEndX', 'OppositeRelatedEvent', 'Offensive', 'Length', 'Angle', 'PassEndY', 'StandingSave']","[91, 118, 120, 29, 36, 38, 215, 218]",True,423114.0,24.044999999999998,1.972,,,,,,,,,,,,False,Belenenses SAD,Benfica,0.0
2359939451.0,20.0,2.0,56.0,292.0,24.150000000000002,0.0,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['ThrowIn', 'Zone', 'PassEndY', 'Length', 'Angle', 'PassEndX']","[91, 212, 36, 37, 216]",True,369083.0,44.52,1.904,,,,,,,,,,,,False,Belenenses SAD,Benfica,0.0028141300000000015
2359939455.0,38.0,2.0,57.0,299.0,59.955000000000005,60.724,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Interception,Successful,"['Zone', 'StandingSave']","[91, 101, 56]",True,21778.0,,,,,,,,,,,,5.0,Jan Vertonghen,,Belenenses SAD,Benfica,
2359939459.0,39.0,2.0,57.0,299.0,59.325,54.74,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,125476.0,,,,,,,,,,,,20.0,João Mário,,Belenenses SAD,Benfica,
,,2.0,57.0,,59.325,54.74,,,Carry,,,,,125476.0,59.22,50.524,,,,,,,,,,20.0,João Mário,False,Belenenses SAD,Benfica,0.0007378299999999983
2359939479.0,40.0,2.0,59.0,299.0,59.22,50.524,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Foul,Successful,"['Offensive', 'OppositeRelatedEvent', 'Foul', 'Zone']","[91, 63]",True,125476.0,,,,,,,,,,,,20.0,João Mário,,Belenenses SAD,Benfica,
2359939493.0,21.0,2.0,59.0,292.0,45.78,17.476,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Foul,Unsuccessful,"['OppositeRelatedEvent', 'StandingSave', 'Zone', 'Foul', 'Defensive']",[64],False,423114.0,,,,,,,,,,,,,,,Belenenses SAD,Benfica,
