id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,cardType,shirtNo,name,progressive,homeTeam,awayTeam,xT
2328288027.0,28.0,2.0,16.0,288.0,47.25,52.224000000000004,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Angle', 'Length', 'Zone', 'PassEndX', 'StandingSave']","[90, 116, 29, 34, 36, 215, 217]",True,361961.0,37.48500000000001,57.52800000000001,,,,,,,,,22.0,Chiquinho,False,Pacos de Ferreira,Braga,-0.0016982100000000003
2328288093.0,29.0,2.0,18.0,288.0,38.115,56.84800000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'StandingSave', 'Length', 'PassEndX', 'Zone', 'Angle']","[90, 116, 29, 34, 37, 214, 217]",True,322689.0,24.78,35.70000000000001,,,,,,,,,10.0,André Horta,False,Pacos de Ferreira,Braga,-0.001981700000000001
2328288151.0,30.0,2.0,21.0,288.0,25.095,35.42800000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'PassEndX', 'Zone', 'Angle', 'PassEndY', 'Length']","[90, 116, 29, 35, 37, 214, 217]",True,83475.0,26.145,16.252,,,,,,,,,15.0,Paulo Oliveira,False,Pacos de Ferreira,Braga,-0.0007416699999999998
,,2.0,21.0,,26.145,16.252,,,Carry,,,,,363935.0,26.775000000000002,14.824000000000002,,,,,,,,,3.0,Vítor Tormena,False,Pacos de Ferreira,Braga,0.0
2328288191.0,31.0,2.0,23.0,288.0,26.775000000000002,14.824000000000002,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'StandingSave', 'PassEndY', 'Zone', 'Length', 'PassEndX']","[90, 116, 29, 35, 37, 215, 217]",True,363935.0,36.225,0.952,,,,,,,,,3.0,Vítor Tormena,False,Pacos de Ferreira,Braga,0.0006677699999999998
2328288349.0,32.0,2.0,25.0,288.0,35.17500000000001,1.904,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'PassEndX', 'PassEndY', 'Length', 'Angle', 'Zone']","[90, 116, 29, 35, 36, 215, 217]",True,421975.0,37.48500000000001,10.472000000000001,,,,,,,,,2.0,Yan Couto,False,Pacos de Ferreira,Braga,0.0023706000000000005
,,2.0,25.0,,37.48500000000001,10.472000000000001,,,Carry,,,,,381792.0,28.980000000000008,7.004000000000001,,,,,,,,,8.0,Al Musrati,False,Pacos de Ferreira,Braga,-0.0023706000000000005
2328288427.0,33.0,2.0,29.0,288.0,28.980000000000008,7.004000000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Zone', 'Length', 'PassEndX', 'Angle', 'StandingSave']","[90, 116, 29, 35, 36, 214, 217]",True,381792.0,32.235,27.880000000000006,,,,,,,,,8.0,Al Musrati,False,Pacos de Ferreira,Braga,0.0015471700000000005
,,2.0,29.0,,32.235,27.880000000000006,,,Carry,,,,,322689.0,32.76,26.248,,,,,,,,,10.0,André Horta,False,Pacos de Ferreira,Braga,0.0
2328288487.0,34.0,2.0,30.0,288.0,32.76,26.248,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndY', 'Angle', 'Length', 'PassEndX']","[90, 116, 29, 34, 36, 214, 217]",True,322689.0,24.36,43.248000000000005,,,,,,,,,10.0,André Horta,False,Pacos de Ferreira,Braga,-0.0013107199999999996
