id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,goalMouthZ,goalMouthY,isGoal,isShot,blockedX,blockedY,relatedEventId,relatedPlayerId,cardType,shirtNo,name,progressive,homeTeam,awayTeam,xT
2387273797.0,16.0,2.0,26.0,264.0,15.015,19.380000000000003,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",KeeperPickup,Successful,[],[93],False,74433.0,,,,,,,,,,,,,,,Maritimo,Sporting,
2387273979.0,18.0,2.0,38.0,264.0,13.545000000000003,25.840000000000007,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndX', 'PassEndY', 'Length', 'Longball', 'Angle']","[91, 119, 117, 127, 205, 36, 37, 217, 218]",True,74433.0,73.29000000000002,27.064000000000004,,,,,,,,,,,,True,Maritimo,Sporting,0.01302427
2387273985.0,19.0,2.0,41.0,264.0,73.29,27.064,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Unsuccessful,"['StandingSave', 'Zone']","[91, 69]",True,403771.0,,,,,,,,,,,,,,,Maritimo,Sporting,
2387274031.0,20.0,2.0,43.0,264.0,72.97500000000001,27.200000000000003,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Unsuccessful,"['Zone', 'StandingSave']","[91, 69]",True,357533.0,,,,,,,,,,,,,,,Maritimo,Sporting,
2387273995.0,43.0,2.0,43.0,296.0,30.450000000000006,46.71600000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['PassEndY', 'Longball', 'StandingSave', 'Angle', 'Length', 'PassEndX', 'Zone']","[91, 118, 120, 128, 36, 38, 216, 218]",True,283978.0,40.215,45.96800000000001,,,,,,,,,,2.0,Matheus Reis,False,Maritimo,Sporting,0.0015871199999999992
2387274041.0,44.0,2.0,45.0,296.0,34.965,45.696000000000005,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'PassEndX', 'Angle', 'Zone', 'StandingSave', 'Length']","[91, 117, 30, 36, 38, 216, 218]",True,394933.0,36.330000000000005,40.8,,,,,,,,,,8.0,Matheus Nunes,False,Maritimo,Sporting,0.0002191399999999996
2387274047.0,45.0,2.0,46.0,296.0,36.330000000000005,40.8,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,408962.0,,,,,,,,,,,,15.0,Manuel Ugarte,,Maritimo,Sporting,
2387274085.0,47.0,2.0,48.0,296.0,53.760000000000005,38.692,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Unsuccessful,"['Zone', 'StandingSave']","[91, 69]",True,135563.0,,,,,,,,,,,,21.0,Paulinho,,Maritimo,Sporting,
2387274083.0,46.0,2.0,48.0,296.0,36.330000000000005,40.596,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Length', 'Angle', 'PassEndY', 'PassEndX', 'Zone']","[91, 119, 117, 30, 36, 38, 216, 218]",True,408962.0,53.76000000000001,38.692,,,,,,,,,,15.0,Manuel Ugarte,True,Maritimo,Sporting,0.004268819999999998
2387274087.0,21.0,2.0,49.0,264.0,51.345,33.184,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,282241.0,,,,,,,,,,,,,,,Maritimo,Sporting,
