id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,goalMouthZ,goalMouthY,isShot,blockedX,blockedY,isGoal,shirtNo,name,progressive,homeTeam,awayTeam,xT
2482787055.0,23.0,3.0,19.0,2188,43.365,68.0,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndX', 'ThrowIn', 'Zone', 'Angle', 'PassEndY']","[91, 212, 36, 38, 216]",True,105928.0,56.7,66.23200000000001,,,,,,,,,,,False,Estoril,Benfica,0.0034732899999999987
2482787109.0,24.0,3.0,21.0,2188,57.015,66.368,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Chipped', 'Length', 'Zone', 'Angle', 'PassEndY', 'PassEndX']","[91, 120, 29, 124, 36, 38, 216, 218]",True,142746.0,60.58500000000001,63.71600000000001,,,,,,,,,,,False,Estoril,Benfica,
2482817211.0,449.0,3.0,22.0,299,37.800000000000004,7.684000000000001,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Successful,['Zone'],[91],True,443613.0,,,,,,,,,,,66.0,António Silva,,Estoril,Benfica,
2482787115.0,25.0,3.0,23.0,2188,60.69,62.968,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Successful,['Zone'],[91],True,436624.0,,,,,,,,,,,,,,Estoril,Benfica,
2482787129.0,50.0,3.0,25.0,299,36.96000000000001,8.976,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,443613.0,,,,,,,,,,,66.0,António Silva,,Estoril,Benfica,
2482787151.0,52.0,3.0,25.0,299,39.06,19.040000000000003,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Angle', 'PassEndY', 'PassEndX', 'Length', 'Zone']","[91, 118, 120, 29, 36, 37, 216, 218]",True,369430.0,46.2,19.992,,,,,,,,,13.0,Enzo Fernández,False,Estoril,Benfica,
2482787139.0,51.0,3.0,25.0,299,36.96000000000001,8.976,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Zone', 'Angle', 'PassEndY', 'PassEndX']","[91, 117, 30, 36, 37, 216, 218]",True,443613.0,39.06,19.040000000000003,,,,,,,,,66.0,António Silva,False,Estoril,Benfica,0.0005445499999999995
2482787173.0,26.0,3.0,26.0,2188,55.44,44.540000000000006,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Offensive', 'PassEndY', 'PassEndX', 'Zone', 'Length', 'OppositeRelatedEvent', 'Angle']","[91, 120, 29, 36, 216, 218]",True,444629.0,56.07,44.540000000000006,,,,,,,,,,,False,Estoril,Benfica,
2482787175.0,53.0,3.0,26.0,299,48.089999999999996,19.856,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",BlockedPass,Successful,"['OppositeRelatedEvent', 'Defensive', 'Zone']","[91, 60]",True,361961.0,,,,,,,,,,,22.0,Chiquinho,,Estoril,Benfica,
2482787209.0,27.0,3.0,28.0,2188,59.010000000000005,27.540000000000003,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,332144.0,,,,,,,,,,,,,,Estoril,Benfica,
